handle,layer,dxftype,shape_class,n_vertices,is_convex,convex_fill,area_in2,perim_in,circularity,bbox_w_in,bbox_h_in,mrr_w_in,mrr_h_in,current_label,proposed_label,changed,anomalies
17E9,COLS,LWPOLYLINE,rect,4,True,1.0,784.0,112.0,0.7854,28.0,28.0,28.0,28.0,28x28,28x28,False,
17EA,COLS,LWPOLYLINE,rect,4,True,1.0,784.0,112.0,0.7854,28.0,28.0,28.0,28.0,28x28,28x28,False,
17EB,COLS,LWPOLYLINE,rect,4,True,1.0,336.0,76.0,0.731,24.0,14.0,14.0,24.0,14x24,14x24,False,
17EC,COLS,LWPOLYLINE,rect,4,True,1.0,720.0,108.0,0.7757,24.0,30.0,24.0,30.0,24x30,24x30,False,
17ED,COLS,LWPOLYLINE,rect,4,True,1.0,624.0,100.0,0.7841,32.32,31.06,24.0,26.0,24x26,24x26,False,
17EE,COLS,LWPOLYLINE,rect,4,True,1.0,784.0,112.0,0.7854,28.0,28.0,28.0,28.0,28x28,28x28,False,
17EF,COLS,LWPOLYLINE,rect,4,True,1.0,576.0,96.0,0.7854,24.0,24.0,24.0,24.0,24x24,24x24,False,
17F0,COLS,LWPOLYLINE,rect,4,True,1.0,648.0,108.0,0.6981,36.0,18.0,18.0,36.0,18x36,18x36,False,
17F1,COLS,LWPOLYLINE,rect,4,True,1.0,336.0,76.0,0.731,14.0,24.0,14.0,24.0,14x24,14x24,False,
17F2,COLS,LWPOLYLINE,rect,4,True,1.0,336.0,76.0,0.731,20.95,27.22,14.0,24.0,14x24,14x24,False,
17F3,COLS,LWPOLYLINE,rect,4,True,1.0,336.0,76.0,0.731,24.0,14.0,14.0,24.0,14x24,14x24,False,
17F4,COLS,LWPOLYLINE,rect,4,True,1.0,624.0,100.0,0.7841,24.0,26.0,24.0,26.0,24x26,24x26,False,
17F5,COLS,LWPOLYLINE,rect,4,True,1.0,648.0,108.0,0.6981,36.0,18.0,18.0,36.0,18x36,18x36,False,
17F6,COLS,LWPOLYLINE,rect,4,True,1.0,648.0,108.0,0.6981,36.0,18.0,18.0,36.0,18x36,18x36,False,
17F7,COLS,LWPOLYLINE,rect,4,True,1.0,648.0,108.0,0.6981,36.0,18.0,18.0,36.0,18x36,18x36,False,
17F8,COLS,LWPOLYLINE,rect,4,True,1.0,648.0,108.0,0.6981,36.0,18.0,18.0,36.0,18x36,18x36,False,
17F9,COLS,LWPOLYLINE,rect,4,True,1.0,648.0,108.0,0.6981,36.0,18.0,18.0,36.0,18x36,18x36,False,
17FA,COLS,LWPOLYLINE,rect,4,True,1.0,336.0,76.0,0.731,20.95,27.22,14.0,24.0,14x24,14x24,False,
17FB,COLS,LWPOLYLINE,rect,4,True,1.0,784.0,112.0,0.7854,35.49,35.49,28.0,28.0,28x28,28x28,False,
17FC,COLS,LWPOLYLINE,rect,4,True,1.0,336.0,76.0,0.731,27.22,20.95,14.0,24.0,14x24,14x24,False,
17FD,COLS,LWPOLYLINE,rect,4,True,1.0,336.0,76.0,0.731,27.22,20.95,14.0,24.0,14x24,14x24,False,
17FE,COLS,LWPOLYLINE,rect,4,True,1.0,336.0,76.0,0.731,27.22,20.95,14.0,24.0,14x24,14x24,False,
17FF,COLS,LWPOLYLINE,rect,4,True,1.0,336.0,76.0,0.731,24.0,14.0,14.0,24.0,14x24,14x24,False,
1800,COLS,LWPOLYLINE,rect,4,True,1.0,336.0,76.0,0.731,24.0,14.0,14.0,24.0,14x24,14x24,False,
1801,COLS,LWPOLYLINE,rect,4,True,1.0,336.0,76.0,0.731,24.0,14.0,14.0,24.0,14x24,14x24,False,
1802,COLS,LWPOLYLINE,rect,4,True,1.0,336.0,76.0,0.731,14.0,24.0,14.0,24.0,14x24,14x24,False,
1803,COLS,LWPOLYLINE,rect,4,True,1.0,336.0,76.0,0.731,20.95,27.22,14.0,24.0,14x24,14x24,False,
1804,COLS,LWPOLYLINE,rect,4,True,1.0,648.0,108.0,0.6981,36.0,18.0,18.0,36.0,18x36,18x36,False,
1805,COLS,LWPOLYLINE,rect,4,True,1.0,648.0,108.0,0.6981,36.0,18.0,18.0,36.0,18x36,18x36,False,
1806,COLS,LWPOLYLINE,rect,4,True,1.0,648.0,108.0,0.6981,36.0,18.0,18.0,36.0,18x36,18x36,False,
1807,COLS,LWPOLYLINE,rect,4,True,1.0,648.0,108.0,0.6981,36.0,18.0,18.0,36.0,18x36,18x36,False,
1808,COLS,LWPOLYLINE,rect,4,True,1.0,648.0,108.0,0.6981,36.0,18.0,18.0,36.0,18x36,18x36,False,
1809,COLS,LWPOLYLINE,rect,4,True,1.0,624.0,110.0,0.6481,42.07,27.65,16.0,39.0,16x39,16x39,False,
180A,COLS,LWPOLYLINE,rect,4,True,1.0,816.0,116.0,0.7621,39.9,33.62,24.0,34.0,24x34,24x34,False,
180B,COLS,LWPOLYLINE,rect,4,True,1.0,720.0,108.0,0.7757,32.34,36.11,24.0,30.0,24x30,24x30,False,
180C,COLS,LWPOLYLINE,rect,4,True,1.0,336.0,74.0,0.7711,25.02,21.88,16.0,21.0,16x21,16x21,False,
180D,COLS,LWPOLYLINE,rect,4,True,1.0,630.0,102.0,0.7609,29.5,35.15,21.0,30.0,21x30,21x30,False,
180E,COLS,LWPOLYLINE,rect,4,True,1.0,624.0,100.0,0.7841,31.06,32.32,24.0,26.0,24x26,24x26,False,
180F,COLS,LWPOLYLINE,rect,4,True,1.0,630.0,102.0,0.7609,29.5,35.15,21.0,30.0,21x30,21x30,False,
1810,COLS,LWPOLYLINE,rect,4,True,1.0,624.0,100.0,0.7841,24.0,26.0,24.0,26.0,24x26,24x26,False,
1811,COLS,LWPOLYLINE,rect,4,True,1.0,624.0,110.0,0.6481,42.07,27.65,16.0,39.0,16x39,16x39,False,
1812,COLS,LWPOLYLINE,rect,4,True,1.0,624.0,110.0,0.6481,42.07,27.65,16.0,39.0,16x39,16x39,False,
1813,COLS,LWPOLYLINE,rect,4,True,1.0,648.0,108.0,0.6981,39.87,28.58,18.0,36.0,18x36,18x36,False,
1814,COLS,LWPOLYLINE,rect,4,True,1.0,624.0,110.0,0.6481,16.0,39.0,16.0,39.0,16x39,16x39,False,
1815,COLS,LWPOLYLINE,rect,4,True,1.0,576.0,100.0,0.7238,18.0,32.0,18.0,32.0,18x32,18x32,False,
1816,COLS,LWPOLYLINE,rect,4,True,1.0,648.0,108.0,0.6981,18.0,36.0,18.0,36.0,18x36,18x36,False,
1817,COLS,LWPOLYLINE,rect,4,True,1.0,648.0,108.0,0.6981,18.0,36.0,18.0,36.0,18x36,18x36,False,
1818,COLS,LWPOLYLINE,rect,4,True,1.0,648.0,108.0,0.6981,18.0,36.0,18.0,36.0,18x36,18x36,False,
1819,COLS,LWPOLYLINE,rect,4,True,1.0,648.0,108.0,0.6981,18.0,36.0,18.0,36.0,18x36,18x36,False,
181A,COLS,LWPOLYLINE,rect,4,True,1.0,630.0,102.0,0.7609,30.0,21.0,21.0,30.0,21x30,21x30,False,
181B,COLS,LWPOLYLINE,rect,4,True,1.0,784.0,112.0,0.7854,28.0,28.0,28.0,28.0,28x28,28x28,False,
181C,COLS,LWPOLYLINE,rect,4,True,1.0,720.0,108.0,0.7757,24.0,30.0,24.0,30.0,24x30,24x30,False,
181D,COLS,LWPOLYLINE,rect,4,True,1.0,630.0,102.0,0.7609,30.0,21.0,21.0,30.0,21x30,21x30,False,
181E,COLS,LWPOLYLINE,rect,4,True,1.0,630.0,102.0,0.7609,30.0,21.0,21.0,30.0,21x30,21x30,False,
181F,COLS,LWPOLYLINE,rect,4,True,1.0,720.0,108.0,0.7757,30.0,24.0,24.0,30.0,24x30,24x30,False,
1820,COLS,LWPOLYLINE,rect,4,True,1.0,624.0,100.0,0.7841,24.0,26.0,24.0,26.0,24x26,24x26,False,
1821,COLS,LWPOLYLINE,rect,4,True,1.0,576.0,100.0,0.7238,32.0,18.0,18.0,32.0,18x32,18x32,False,
1822,COLS,LWPOLYLINE,rect,4,True,1.0,720.0,108.0,0.7757,24.0,30.0,24.0,30.0,24x30,24x30,False,
1823,COLS,LWPOLYLINE,rect,4,True,1.0,720.0,116.0,0.6724,40.0,18.0,18.0,40.0,18x40,18x40,False,
1824,COLS,LWPOLYLINE,rect,4,True,1.0,624.0,100.0,0.7841,32.32,31.06,24.0,26.0,24x26,24x26,False,
1825,COLS,LWPOLYLINE,rect,4,True,1.0,624.0,100.0,0.7841,24.0,26.0,24.0,26.0,24x26,24x26,False,
1826,COLS,LWPOLYLINE,rect,4,True,1.0,624.0,100.0,0.7841,24.0,26.0,24.0,26.0,24x26,24x26,False,
1827,COLS,LWPOLYLINE,rect,4,True,1.0,576.0,96.0,0.7854,24.0,24.0,24.0,24.0,24x24,24x24,False,
1828,COLS,LWPOLYLINE,rect,4,True,1.0,648.0,108.0,0.6981,36.0,18.0,18.0,36.0,18x36,18x36,False,
1829,COLS,LWPOLYLINE,rect,4,True,1.0,336.0,76.0,0.731,24.0,14.0,14.0,24.0,14x24,14x24,False,
182A,COLS,LWPOLYLINE,rect,4,True,1.0,624.0,100.0,0.7841,24.0,26.0,24.0,26.0,24x26,24x26,False,
182B,COLS,LWPOLYLINE,rect,4,True,1.0,336.0,76.0,0.731,20.95,27.22,14.0,24.0,14x24,14x24,False,
182C,COLS,LWPOLYLINE,rect,4,True,1.0,648.0,108.0,0.6981,36.0,18.0,18.0,36.0,18x36,18x36,False,
182D,COLS,LWPOLYLINE,rect,4,True,1.0,648.0,108.0,0.6981,36.0,18.0,18.0,36.0,18x36,18x36,False,
182E,COLS,LWPOLYLINE,rect,4,True,1.0,648.0,108.0,0.6981,36.0,18.0,18.0,36.0,18x36,18x36,False,
182F,COLS,LWPOLYLINE,rect,4,True,1.0,648.0,108.0,0.6981,36.0,18.0,18.0,36.0,18x36,18x36,False,
1830,COLS,LWPOLYLINE,rect,4,True,1.0,648.0,108.0,0.6981,36.0,18.0,18.0,36.0,18x36,18x36,False,
1831,COLS,LWPOLYLINE,rect,4,True,1.0,512.0,96.0,0.6981,35.44,25.41,16.0,32.0,16x32,16x32,False,
1832,COLS,LWPOLYLINE,rect,4,True,1.0,624.0,110.0,0.6481,42.07,27.65,16.0,39.0,16x39,16x39,False,
1833,COLS,LWPOLYLINE,rect,4,True,1.0,816.0,116.0,0.7621,39.9,33.62,24.0,34.0,24x34,24x34,False,
1834,COLS,LWPOLYLINE,rect,4,True,1.0,720.0,108.0,0.7757,32.34,36.11,24.0,30.0,24x30,24x30,False,
1835,COLS,LWPOLYLINE,rect,4,True,1.0,336.0,74.0,0.7711,25.02,21.88,16.0,21.0,16x21,16x21,False,
1836,COLS,LWPOLYLINE,rect,4,True,1.0,630.0,102.0,0.7609,29.5,35.15,21.0,30.0,21x30,21x30,False,
1837,COLS,LWPOLYLINE,rect,4,True,1.0,624.0,100.0,0.7841,31.06,32.32,24.0,26.0,24x26,24x26,False,
1838,COLS,LWPOLYLINE,rect,4,True,1.0,630.0,102.0,0.7609,29.5,35.15,21.0,30.0,21x30,21x30,False,
1839,COLS,LWPOLYLINE,rect,4,True,1.0,624.0,100.0,0.7841,24.0,26.0,24.0,26.0,24x26,24x26,False,
183A,COLS,LWPOLYLINE,rect,4,True,1.0,624.0,110.0,0.6481,42.07,27.65,16.0,39.0,16x39,16x39,False,
183B,COLS,LWPOLYLINE,rect,4,True,1.0,624.0,110.0,0.6481,42.07,27.65,16.0,39.0,16x39,16x39,False,
183C,COLS,LWPOLYLINE,rect,4,True,1.0,648.0,108.0,0.6981,39.87,28.58,18.0,36.0,18x36,18x36,False,
183D,COLS,LWPOLYLINE,rect,4,True,1.0,624.0,110.0,0.6481,16.0,39.0,16.0,39.0,16x39,16x39,False,
183E,COLS,LWPOLYLINE,rect,4,True,1.0,576.0,100.0,0.7238,18.0,32.0,18.0,32.0,18x32,18x32,False,
1840,COLS,LWPOLYLINE,rect,4,True,1.0,648.0,108.0,0.6981,18.0,36.0,18.0,36.0,18x36,18x36,False,
1843,COLS,LWPOLYLINE,rect,4,True,1.0,630.0,102.0,0.7609,30.0,21.0,21.0,30.0,21x30,21x30,False,
1844,COLS,LWPOLYLINE,rect,4,True,1.0,336.0,74.0,0.7711,21.0,16.0,16.0,21.0,16x21,16x21,False,
1845,COLS,LWPOLYLINE,rect,4,True,1.0,784.0,112.0,0.7854,28.0,28.0,28.0,28.0,28x28,28x28,False,
1846,COLS,LWPOLYLINE,rect,4,True,1.0,720.0,108.0,0.7757,24.0,30.0,24.0,30.0,24x30,24x30,False,
1847,COLS,LWPOLYLINE,rect,4,True,1.0,630.0,102.0,0.7609,30.0,21.0,21.0,30.0,21x30,21x30,False,
1848,COLS,LWPOLYLINE,rect,4,True,1.0,630.0,102.0,0.7609,30.0,21.0,21.0,30.0,21x30,21x30,False,
1849,COLS,LWPOLYLINE,rect,4,True,1.0,624.0,100.0,0.7841,24.0,26.0,24.0,26.0,24x26,24x26,False,
184A,COLS,LWPOLYLINE,rect,4,True,1.0,720.0,108.0,0.7757,30.0,24.0,24.0,30.0,24x30,24x30,False,
184B,COLS,LWPOLYLINE,rect,4,True,1.0,624.0,100.0,0.7841,24.0,26.0,24.0,26.0,24x26,24x26,False,
184C,COLS,LWPOLYLINE,rect,4,True,1.0,576.0,100.0,0.7238,32.0,18.0,18.0,32.0,18x32,18x32,False,
184D,COLS,LWPOLYLINE,rect,4,True,1.0,720.0,108.0,0.7757,24.0,30.0,24.0,30.0,24x30,24x30,False,
184E,COLS,LWPOLYLINE,rect,4,True,1.0,720.0,116.0,0.6724,40.0,18.0,18.0,40.0,18x40,18x40,False,
184F,COLS,LWPOLYLINE,rect,4,True,1.0,624.0,100.0,0.7841,32.32,31.06,24.0,26.0,24x26,24x26,False,
1850,COLS,LWPOLYLINE,rect,4,True,1.0,624.0,100.0,0.7841,24.0,26.0,24.0,26.0,24x26,24x26,False,
1851,COLS,LWPOLYLINE,rect,4,True,1.0,624.0,100.0,0.7841,24.0,26.0,24.0,26.0,24x26,24x26,False,
1852,COLS,LWPOLYLINE,rect,4,True,1.0,576.0,96.0,0.7854,24.0,24.0,24.0,24.0,24x24,24x24,False,
1853,COLS,LWPOLYLINE,rect,4,True,1.0,648.0,108.0,0.6981,36.0,18.0,18.0,36.0,18x36,18x36,False,
1854,COLS,LWPOLYLINE,rect,4,True,1.0,320.0,72.0,0.7757,20.0,16.0,16.0,20.0,16x20,16x20,False,
1855,COLS,LWPOLYLINE,rect,4,True,1.0,624.0,100.0,0.7841,24.0,26.0,24.0,26.0,24x26,24x26,False,
1856,COLS,LWPOLYLINE,rect,4,True,1.0,816.0,116.0,0.7621,39.9,33.62,24.0,34.0,24x34,24x34,False,
1857,COLS,LWPOLYLINE,rect,4,True,1.0,648.0,108.0,0.6981,36.0,18.0,18.0,36.0,18x36,18x36,False,
1858,COLS,LWPOLYLINE,rect,4,True,1.0,648.0,108.0,0.6981,36.0,18.0,18.0,36.0,18x36,18x36,False,
1859,COLS,LWPOLYLINE,rect,4,True,1.0,648.0,108.0,0.6981,36.0,18.0,18.0,36.0,18x36,18x36,False,
185A,COLS,LWPOLYLINE,rect,4,True,1.0,648.0,108.0,0.6981,36.0,18.0,18.0,36.0,18x36,18x36,False,
185B,COLS,LWPOLYLINE,rect,4,True,1.0,648.0,108.0,0.6981,36.0,18.0,18.0,36.0,18x36,18x36,False,
185C,COLS,LWPOLYLINE,rect,4,True,1.0,648.0,108.0,0.6981,36.0,18.0,18.0,36.0,18x36,18x36,False,
185D,COLS,LWPOLYLINE,rect,4,True,1.0,512.0,96.0,0.6981,35.44,25.41,16.0,32.0,16x32,16x32,False,
185E,COLS,LWPOLYLINE,rect,4,True,1.0,624.0,110.0,0.6481,42.07,27.65,16.0,39.0,16x39,16x39,False,
185F,COLS,LWPOLYLINE,rect,4,True,1.0,720.0,108.0,0.7757,32.34,36.11,24.0,30.0,24x30,24x30,False,
1860,COLS,LWPOLYLINE,rect,4,True,1.0,624.0,100.0,0.7841,31.06,32.32,24.0,26.0,24x26,24x26,False,
1861,COLS,LWPOLYLINE,rect,4,True,1.0,624.0,100.0,0.7841,24.0,26.0,24.0,26.0,24x26,24x26,False,
1862,COLS,LWPOLYLINE,rect,4,True,1.0,624.0,110.0,0.6481,42.07,27.65,16.0,39.0,16x39,16x39,False,
1863,COLS,LWPOLYLINE,rect,4,True,1.0,624.0,110.0,0.6481,42.07,27.65,16.0,39.0,16x39,16x39,False,
1864,COLS,LWPOLYLINE,rect,4,True,1.0,648.0,108.0,0.6981,39.87,28.58,18.0,36.0,18x36,18x36,False,
1865,COLS,LWPOLYLINE,rect,4,True,1.0,624.0,110.0,0.6481,16.0,39.0,16.0,39.0,16x39,16x39,False,
1866,COLS,LWPOLYLINE,rect,4,True,1.0,576.0,100.0,0.7238,18.0,32.0,18.0,32.0,18x32,18x32,False,
1867,COLS,LWPOLYLINE,rect,4,True,1.0,784.0,112.0,0.7854,28.0,28.0,28.0,28.0,28x28,28x28,False,
1868,COLS,LWPOLYLINE,rect,4,True,1.0,630.0,102.0,0.7609,30.0,21.0,21.0,30.0,21x30,21x30,False,
1869,COLS,LWPOLYLINE,rect,4,True,1.0,624.0,100.0,0.7841,24.0,26.0,24.0,26.0,24x26,24x26,False,
186A,COLS,LWPOLYLINE,rect,4,True,1.0,720.0,108.0,0.7757,30.0,24.0,24.0,30.0,24x30,24x30,False,
186B,COLS,LWPOLYLINE,rect,4,True,1.0,624.0,100.0,0.7841,24.0,26.0,24.0,26.0,24x26,24x26,False,
186C,COLS,LWPOLYLINE,rect,4,True,1.0,624.0,100.0,0.7841,32.32,31.06,24.0,26.0,24x26,24x26,False,
186D,COLS,LWPOLYLINE,rect,4,True,1.0,624.0,100.0,0.7841,24.0,26.0,24.0,26.0,24x26,24x26,False,
186E,COLS,LWPOLYLINE,rect,4,True,1.0,624.0,100.0,0.7841,24.0,26.0,24.0,26.0,24x26,24x26,False,
186F,COLS,LWPOLYLINE,rect,4,True,1.0,576.0,96.0,0.7854,24.0,24.0,24.0,24.0,24x24,24x24,False,
1870,COLS,LWPOLYLINE,rect,4,True,1.0,528.0,92.0,0.7839,22.0,24.0,22.0,24.0,22x24,22x24,False,
1871,COLS,LWPOLYLINE,rect,4,True,1.0,648.0,108.0,0.6981,36.0,18.0,18.0,36.0,18x36,18x36,False,
1872,COLS,LWPOLYLINE,rect,4,True,1.0,648.0,108.0,0.6981,36.0,18.0,18.0,36.0,18x36,18x36,False,
1873,COLS,LWPOLYLINE,rect,4,True,1.0,336.0,74.0,0.7711,25.02,21.88,16.0,21.0,16x21,16x21,False,
1874,COLS,LWPOLYLINE,rect,4,True,1.0,528.0,92.0,0.7839,28.53,29.78,22.0,24.0,22x24,22x24,False,
1875,COLS,LWPOLYLINE,rect,4,True,1.0,528.0,92.0,0.7839,28.53,29.78,22.0,24.0,22x24,22x24,False,
1876,COLS,LWPOLYLINE,rect,4,True,1.0,528.0,92.0,0.7839,24.0,22.0,22.0,24.0,22x24,22x24,False,
1877,COLS,LWPOLYLINE,rect,4,True,1.0,648.0,108.0,0.6981,18.0,36.0,18.0,36.0,18x36,18x36,False,
1878,COLS,LWPOLYLINE,rect,4,True,1.0,648.0,108.0,0.6981,18.0,36.0,18.0,36.0,18x36,18x36,False,
1879,COLS,LWPOLYLINE,rect,4,True,1.0,648.0,108.0,0.6981,18.0,36.0,18.0,36.0,18x36,18x36,False,
187A,COLS,LWPOLYLINE,rect,4,True,1.0,648.0,108.0,0.6981,18.0,36.0,18.0,36.0,18x36,18x36,False,
187B,COLS,LWPOLYLINE,rect,4,True,1.0,528.0,92.0,0.7839,24.0,22.0,22.0,24.0,22x24,22x24,False,
187C,COLS,LWPOLYLINE,rect,4,True,1.0,336.0,74.0,0.7711,21.0,16.0,16.0,21.0,16x21,16x21,False,
187D,COLS,LWPOLYLINE,rect,4,True,1.0,624.0,100.0,0.7841,26.0,24.0,24.0,26.0,24x26,24x26,False,
187E,COLS,LWPOLYLINE,rect,4,True,1.0,630.0,102.0,0.7609,30.0,21.0,21.0,30.0,21x30,21x30,False,
187F,COLS,LWPOLYLINE,rect,4,True,1.0,630.0,102.0,0.7609,30.0,21.0,21.0,30.0,21x30,21x30,False,
1880,COLS,LWPOLYLINE,rect,4,True,1.0,720.0,108.0,0.7757,30.0,24.0,24.0,30.0,24x30,24x30,False,
1881,COLS,LWPOLYLINE,rect,4,True,1.0,624.0,100.0,0.7841,24.0,26.0,24.0,26.0,24x26,24x26,False,
1882,COLS,LWPOLYLINE,rect,4,True,1.0,720.0,116.0,0.6724,40.0,18.0,18.0,40.0,18x40,18x40,False,
1883,COLS,LWPOLYLINE,rect,4,True,1.0,320.0,72.0,0.7757,20.0,16.0,16.0,20.0,16x20,16x20,False,
1884,COLS,LWPOLYLINE,rect,4,True,1.0,624.0,100.0,0.7841,24.0,26.0,24.0,26.0,24x26,24x26,False,
1885,COLS,LWPOLYLINE,rect,4,True,1.0,512.0,96.0,0.6981,25.41,35.44,16.0,32.0,16x32,16x32,False,
1886,COLS,LWPOLYLINE,rect,4,True,1.0,624.0,110.0,0.6481,42.07,27.65,16.0,39.0,16x39,16x39,False,
1887,COLS,LWPOLYLINE,rect,4,True,1.0,576.0,96.0,0.7854,24.0,24.0,24.0,24.0,24x24,24x24,False,
1888,COLS,LWPOLYLINE,rect,4,True,1.0,576.0,96.0,0.7854,30.42,30.42,24.0,24.0,24x24,24x24,False,
1889,COLS,LWPOLYLINE,rect,4,True,1.0,624.0,100.0,0.7841,32.32,31.06,24.0,26.0,24x26,24x26,False,
188A,COLS,LWPOLYLINE,rect,4,True,1.0,512.0,96.0,0.6981,35.44,25.41,16.0,32.0,16x32,16x32,False,
188B,COLS,LWPOLYLINE,rect,4,True,1.0,864.0,120.0,0.754,34.27,41.79,24.0,36.0,24x36,24x36,False,
188C,COLS,LWPOLYLINE,rect,4,True,1.0,512.0,96.0,0.6981,25.41,35.44,16.0,32.0,16x32,16x32,False,
188D,COLS,LWPOLYLINE,rect,4,True,1.0,512.0,96.0,0.6981,35.44,25.41,16.0,32.0,16x32,16x32,False,
188E,COLS,LWPOLYLINE,rect,4,True,1.0,624.0,110.0,0.6481,42.07,27.65,16.0,39.0,16x39,16x39,False,
188F,COLS,LWPOLYLINE,rect,4,True,1.0,648.0,108.0,0.6981,28.58,39.87,18.0,36.0,18x36,18x36,False,
1890,COLS,LWPOLYLINE,rect,4,True,1.0,528.0,92.0,0.7839,28.53,29.78,22.0,24.0,22x24,22x24,False,
1891,COLS,LWPOLYLINE,rect,4,True,1.0,540.0,96.0,0.7363,26.66,34.18,18.0,30.0,18x30,18x30,False,
1892,COLS,LWPOLYLINE,rect,4,True,1.0,540.0,96.0,0.7363,26.66,34.18,18.0,30.0,18x30,18x30,False,
1893,COLS,LWPOLYLINE,rect,4,True,1.0,540.0,96.0,0.7363,26.66,34.18,18.0,30.0,18x30,18x30,False,
1894,COLS,LWPOLYLINE,rect,4,True,1.0,528.0,92.0,0.7839,28.53,29.78,22.0,24.0,22x24,22x24,False,
1895,COLS,LWPOLYLINE,rect,4,True,1.0,528.0,92.0,0.7839,28.53,29.78,22.0,24.0,22x24,22x24,False,
1896,COLS,LWPOLYLINE,rect,4,True,1.0,528.0,92.0,0.7839,28.53,29.78,22.0,24.0,22x24,22x24,False,
1897,COLS,LWPOLYLINE,rect,4,True,1.0,528.0,92.0,0.7839,24.0,22.0,22.0,24.0,22x24,22x24,False,
1898,COLS,LWPOLYLINE,rect,4,True,1.0,540.0,96.0,0.7363,26.66,34.18,18.0,30.0,18x30,18x30,False,
1899,COLS,LWPOLYLINE,rect,4,True,1.0,540.0,96.0,0.7363,26.66,34.18,18.0,30.0,18x30,18x30,False,
189A,COLS,LWPOLYLINE,rect,4,True,1.0,540.0,96.0,0.7363,26.66,34.18,18.0,30.0,18x30,18x30,False,
189B,COLS,LWPOLYLINE,rect,4,True,1.0,540.0,96.0,0.7363,26.66,34.18,18.0,30.0,18x30,18x30,False,
189C,COLS,LWPOLYLINE,rect,4,True,1.0,512.0,96.0,0.6981,35.44,25.41,16.0,32.0,16x32,16x32,False,
189D,COLS,LWPOLYLINE,rect,4,True,1.0,624.0,110.0,0.6481,42.07,27.65,16.0,39.0,16x39,16x39,False,
189E,COLS,LWPOLYLINE,rect,4,True,1.0,648.0,108.0,0.6981,28.58,39.87,18.0,36.0,18x36,18x36,False,
18A0,COLS,LWPOLYLINE,rect,4,True,1.0,720.0,108.0,0.7757,32.34,36.11,24.0,30.0,24x30,24x30,False,
18A1,COLS,LWPOLYLINE,rect,4,True,1.0,528.0,92.0,0.7839,28.53,29.78,22.0,24.0,22x24,22x24,False,
18A2,COLS,LWPOLYLINE,rect,4,True,1.0,528.0,92.0,0.7839,28.53,29.78,22.0,24.0,22x24,22x24,False,
18A3,COLS,LWPOLYLINE,rect,4,True,1.0,528.0,92.0,0.7839,24.0,22.0,22.0,24.0,22x24,22x24,False,
18A4,COLS,LWPOLYLINE,rect,4,True,1.0,540.0,96.0,0.7363,26.66,34.18,18.0,30.0,18x30,18x30,False,
18A5,COLS,LWPOLYLINE,rect,4,True,1.0,540.0,96.0,0.7363,26.66,34.18,18.0,30.0,18x30,18x30,False,
18A6,COLS,LWPOLYLINE,rect,4,True,1.0,540.0,96.0,0.7363,26.66,34.18,18.0,30.0,18x30,18x30,False,
18A7,COLS,LWPOLYLINE,rect,4,True,1.0,540.0,96.0,0.7363,26.66,34.18,18.0,30.0,18x30,18x30,False,
18A8,COLS,LWPOLYLINE,rect,4,True,1.0,512.0,96.0,0.6981,35.44,25.41,16.0,32.0,16x32,16x32,False,
18A9,COLS,LWPOLYLINE,rect,4,True,1.0,624.0,110.0,0.6481,42.07,27.65,16.0,39.0,16x39,16x39,False,
18AA,COLS,LWPOLYLINE,rect,4,True,1.0,648.0,108.0,0.6981,28.58,39.87,18.0,36.0,18x36,18x36,False,
18AB,COLS,LWPOLYLINE,rect,4,True,1.0,512.0,96.0,0.6981,25.41,35.44,16.0,32.0,16x32,16x32,False,
18AC,COLS,LWPOLYLINE,rect,4,True,1.0,720.0,108.0,0.7757,32.34,36.11,24.0,30.0,24x30,24x30,False,
18AD,COLS,LWPOLYLINE,rect,4,True,1.0,384.0,80.0,0.754,22.84,27.86,16.0,24.0,16x24,16x24,False,
18AE,COLS,LWPOLYLINE,rect,4,True,1.0,384.0,80.0,0.754,22.84,27.86,16.0,24.0,16x24,16x24,False,
18AF,COLS,LWPOLYLINE,rect,4,True,1.0,384.0,80.0,0.754,22.84,27.86,16.0,24.0,16x24,16x24,False,
18B0,COLS,LWPOLYLINE,rect,4,True,1.0,384.0,80.0,0.754,22.84,27.86,16.0,24.0,16x24,16x24,False,
18B1,COLS,LWPOLYLINE,rect,4,True,1.0,384.0,80.0,0.754,22.84,27.86,16.0,24.0,16x24,16x24,False,
18B2,COLS,LWPOLYLINE,rect,4,True,1.0,384.0,80.0,0.754,22.84,27.86,16.0,24.0,16x24,16x24,False,
18B3,COLS,LWPOLYLINE,rect,4,True,1.0,512.0,96.0,0.6981,35.44,25.41,16.0,32.0,16x32,16x32,False,
18B4,COLS,LWPOLYLINE,rect,4,True,1.0,384.0,80.0,0.754,27.86,22.84,16.0,24.0,16x24,16x24,False,
18B5,COLS,LWPOLYLINE,rect,4,True,1.0,528.0,92.0,0.7839,29.78,28.53,22.0,24.0,22x24,22x24,False,
18B6,COLS,LWPOLYLINE,rect,4,True,1.0,528.0,92.0,0.7839,29.78,28.53,22.0,24.0,22x24,22x24,False,
18B7,COLS,LWPOLYLINE,rect,4,True,1.0,624.0,110.0,0.6481,42.07,27.65,16.0,39.0,16x39,16x39,False,
18B8,COLS,LWPOLYLINE,rect,4,True,1.0,648.0,108.0,0.6981,28.58,39.87,18.0,36.0,18x36,18x36,False,
